Indexing started : 2026-03-16 16:11:45.977574
Device           : cpu (FP32)
Batch size       : 50
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/814 (50/40670) | decode:0.35s embed:1.47s db:0.12s total:1.59s | CPU:25% RAM:88% GPU:N/A | ETA:21m34s
batch 581/814 (29050/40670) | decode:0.98s embed:1.75s db:0.03s total:1.79s | CPU:73% RAM:85% GPU:N/A | ETA:7m30s
batch 582/814 (29100/40670) | decode:0.98s embed:1.77s db:0.03s total:1.80s | CPU:81% RAM:86% GPU:N/A | ETA:7m22s
batch 583/814 (29150/40670) | decode:1.19s embed:1.88s db:0.05s total:1.93s | CPU:82% RAM:86% GPU:N/A | ETA:7m21s
batch 584/814 (29200/40670) | decode:1.12s embed:2.22s db:0.04s total:2.26s | CPU:78% RAM:86% GPU:N/A | ETA:7m35s
batch 585/814 (29250/40670) | decode:0.90s embed:1.83s db:0.04s total:1.88s | CPU:75% RAM:86% GPU:N/A | ETA:7m28s
batch 586/814 (29300/40670) | decode:0.80s embed:1.93s db:0.04s total:1.97s | CPU:80% RAM:86% GPU:N/A | ETA:7m27s
batch 587/814 (29350/40670) | decode:0.87s embed:2.00s db:0.04s total:2.04s | CPU:87% RAM:86% GPU:N/A | ETA:7m29s
batch 588/814 (29400/40670) | decode:1.39s embed:1.97s db:0.08s total:2.05s | CPU:90% RAM:87% GPU:N/A | ETA:7m30s
batch 589/814 (29450/40670) | decode:0.94s embed:1.90s db:0.04s total:1.94s | CPU:77% RAM:87% GPU:N/A | ETA:7m26s
batch 590/814 (29500/40670) | decode:1.05s embed:2.32s db:0.05s total:2.37s | CPU:80% RAM:88% GPU:N/A | ETA:7m41s
batch 591/814 (29550/40670) | decode:1.09s embed:2.33s db:0.06s total:2.40s | CPU:79% RAM:88% GPU:N/A | ETA:7m54s
batch 592/814 (29600/40670) | decode:1.01s embed:2.03s db:0.06s total:2.09s | CPU:80% RAM:85% GPU:N/A | ETA:7m51s
batch 593/814 (29650/40670) | decode:1.04s embed:1.86s db:0.04s total:1.90s | CPU:75% RAM:84% GPU:N/A | ETA:7m39s
batch 594/814 (29700/40670) | decode:1.69s embed:1.91s db:0.05s total:1.96s | CPU:71% RAM:84% GPU:N/A | ETA:7m31s
batch 595/814 (29750/40670) | decode:1.49s embed:1.80s db:0.03s total:1.84s | CPU:74% RAM:84% GPU:N/A | ETA:7m20s
batch 596/814 (29800/40670) | decode:1.51s embed:1.92s db:0.05s total:1.97s | CPU:80% RAM:84% GPU:N/A | ETA:7m16s
batch 597/814 (29850/40670) | decode:1.15s embed:1.76s db:0.07s total:1.83s | CPU:74% RAM:84% GPU:N/A | ETA:7m7s
batch 598/814 (29900/40670) | decode:0.98s embed:1.83s db:0.06s total:1.89s | CPU:75% RAM:85% GPU:N/A | ETA:7m1s
batch 599/814 (29950/40670) | decode:1.13s embed:2.03s db:0.05s total:2.09s | CPU:76% RAM:85% GPU:N/A | ETA:7m5s
batch 600/814 (30000/40670) | decode:0.84s embed:1.75s db:0.20s total:1.95s | CPU:74% RAM:85% GPU:N/A | ETA:7m2s
batch 601/814 (30050/40670) | decode:0.98s embed:2.29s db:0.05s total:2.34s | CPU:86% RAM:88% GPU:N/A | ETA:7m15s
batch 602/814 (30100/40670) | decode:0.96s embed:2.81s db:0.04s total:2.86s | CPU:79% RAM:89% GPU:N/A | ETA:7m48s
batch 603/814 (30150/40670) | decode:0.96s embed:2.51s db:0.05s total:2.56s | CPU:80% RAM:91% GPU:N/A | ETA:8m0s
batch 604/814 (30200/40670) | decode:0.79s embed:2.35s db:0.05s total:2.40s | CPU:75% RAM:92% GPU:N/A | ETA:8m3s
batch 605/814 (30250/40670) | decode:1.43s embed:1.98s db:0.05s total:2.02s | CPU:76% RAM:92% GPU:N/A | ETA:7m49s
batch 606/814 (30300/40670) | decode:1.59s embed:2.31s db:0.08s total:2.39s | CPU:80% RAM:93% GPU:N/A | ETA:7m53s
batch 607/814 (30350/40670) | decode:1.88s embed:2.54s db:0.05s total:2.59s | CPU:81% RAM:93% GPU:N/A | ETA:8m4s
batch 608/814 (30400/40670) | decode:1.41s embed:2.29s db:0.07s total:2.36s | CPU:81% RAM:93% GPU:N/A | ETA:8m2s
batch 609/814 (30450/40670) | decode:1.14s embed:2.48s db:0.05s total:2.53s | CPU:95% RAM:93% GPU:N/A | ETA:8m8s
batch 610/814 (30500/40670) | decode:1.42s embed:1.95s db:0.05s total:2.00s | CPU:94% RAM:93% GPU:N/A | ETA:7m50s
batch 611/814 (30550/40670) | decode:1.48s embed:1.92s db:0.06s total:1.98s | CPU:90% RAM:92% GPU:N/A | ETA:7m35s
batch 612/814 (30600/40670) | decode:1.67s embed:1.92s db:0.06s total:1.98s | CPU:85% RAM:93% GPU:N/A | ETA:7m22s
batch 613/814 (30650/40670) | decode:1.88s embed:2.43s db:0.05s total:2.48s | CPU:90% RAM:89% GPU:N/A | ETA:7m31s
batch 614/814 (30700/40670) | decode:1.60s embed:2.09s db:0.03s total:2.12s | CPU:88% RAM:90% GPU:N/A | ETA:7m24s
batch 615/814 (30750/40670) | decode:1.16s embed:1.95s db:0.05s total:2.00s | CPU:79% RAM:90% GPU:N/A | ETA:7m13s
batch 616/814 (30800/40670) | decode:1.31s embed:1.84s db:0.05s total:1.88s | CPU:81% RAM:90% GPU:N/A | ETA:6m59s
batch 617/814 (30850/40670) | decode:1.64s embed:1.88s db:0.04s total:1.92s | CPU:89% RAM:90% GPU:N/A | ETA:6m49s
batch 618/814 (30900/40670) | decode:1.55s embed:1.92s db:0.05s total:1.97s | CPU:90% RAM:91% GPU:N/A | ETA:6m43s
batch 619/814 (30950/40670) | decode:1.24s embed:1.76s db:0.05s total:1.81s | CPU:87% RAM:90% GPU:N/A | ETA:6m31s
batch 620/814 (31000/40670) | decode:1.03s embed:1.93s db:0.43s total:2.36s | CPU:80% RAM:90% GPU:N/A | ETA:6m43s
batch 621/814 (31050/40670) | decode:0.90s embed:1.70s db:0.03s total:1.74s | CPU:82% RAM:90% GPU:N/A | ETA:6m28s
batch 622/814 (31100/40670) | decode:1.21s embed:1.71s db:0.04s total:1.75s | CPU:69% RAM:90% GPU:N/A | ETA:6m16s
batch 623/814 (31150/40670) | decode:0.81s embed:1.69s db:0.05s total:1.74s | CPU:79% RAM:90% GPU:N/A | ETA:6m6s
batch 624/814 (31200/40670) | decode:1.15s embed:1.68s db:0.06s total:1.74s | CPU:78% RAM:90% GPU:N/A | ETA:5m57s
batch 625/814 (31250/40670) | decode:0.79s embed:1.69s db:0.05s total:1.74s | CPU:80% RAM:90% GPU:N/A | ETA:5m50s
batch 626/814 (31300/40670) | decode:0.93s embed:1.64s db:0.05s total:1.69s | CPU:78% RAM:90% GPU:N/A | ETA:5m42s
batch 627/814 (31350/40670) | decode:0.72s embed:1.71s db:0.03s total:1.75s | CPU:82% RAM:90% GPU:N/A | ETA:5m37s
batch 628/814 (31400/40670) | decode:0.70s embed:1.73s db:0.04s total:1.78s | CPU:80% RAM:90% GPU:N/A | ETA:5m34s
batch 629/814 (31450/40670) | decode:0.66s embed:1.80s db:0.06s total:1.86s | CPU:83% RAM:88% GPU:N/A | ETA:5m35s
batch 630/814 (31500/40670) | decode:0.64s embed:1.68s db:0.04s total:1.72s | CPU:79% RAM:88% GPU:N/A | ETA:5m30s
batch 631/814 (31550/40670) | decode:0.70s embed:1.70s db:0.04s total:1.74s | CPU:79% RAM:88% GPU:N/A | ETA:5m26s
batch 632/814 (31600/40670) | decode:0.75s embed:1.67s db:0.05s total:1.72s | CPU:81% RAM:88% GPU:N/A | ETA:5m22s
batch 633/814 (31650/40670) | decode:0.95s embed:1.68s db:0.06s total:1.74s | CPU:85% RAM:89% GPU:N/A | ETA:5m19s
batch 634/814 (31700/40670) | decode:0.65s embed:1.67s db:0.04s total:1.71s | CPU:80% RAM:89% GPU:N/A | ETA:5m15s
batch 635/814 (31750/40670) | decode:0.68s embed:1.66s db:0.05s total:1.72s | CPU:77% RAM:88% GPU:N/A | ETA:5m12s
batch 636/814 (31800/40670) | decode:0.72s embed:1.74s db:0.05s total:1.79s | CPU:79% RAM:88% GPU:N/A | ETA:5m12s
batch 637/814 (31850/40670) | decode:0.72s embed:1.88s db:0.04s total:1.92s | CPU:85% RAM:89% GPU:N/A | ETA:5m16s
batch 638/814 (31900/40670) | decode:0.76s embed:1.64s db:0.05s total:1.70s | CPU:78% RAM:89% GPU:N/A | ETA:5m11s
batch 639/814 (31950/40670) | decode:0.65s embed:1.73s db:0.04s total:1.77s | CPU:78% RAM:89% GPU:N/A | ETA:5m9s
batch 640/814 (32000/40670) | decode:0.79s embed:1.71s db:0.17s total:1.88s | CPU:77% RAM:89% GPU:N/A | ETA:5m11s
batch 641/814 (32050/40670) | decode:0.76s embed:1.63s db:0.03s total:1.66s | CPU:82% RAM:89% GPU:N/A | ETA:5m5s
batch 642/814 (32100/40670) | decode:0.73s embed:1.70s db:0.03s total:1.73s | CPU:80% RAM:89% GPU:N/A | ETA:5m2s
batch 643/814 (32150/40670) | decode:0.70s embed:1.67s db:0.05s total:1.71s | CPU:75% RAM:89% GPU:N/A | ETA:4m59s
batch 644/814 (32200/40670) | decode:0.79s embed:1.69s db:0.04s total:1.73s | CPU:78% RAM:89% GPU:N/A | ETA:4m56s
batch 645/814 (32250/40670) | decode:0.74s embed:1.75s db:0.03s total:1.78s | CPU:81% RAM:89% GPU:N/A | ETA:4m56s
batch 646/814 (32300/40670) | decode:0.72s embed:1.71s db:0.04s total:1.75s | CPU:83% RAM:89% GPU:N/A | ETA:4m54s
batch 647/814 (32350/40670) | decode:0.70s embed:1.67s db:0.06s total:1.73s | CPU:80% RAM:89% GPU:N/A | ETA:4m51s
batch 648/814 (32400/40670) | decode:0.72s embed:1.70s db:0.05s total:1.75s | CPU:81% RAM:89% GPU:N/A | ETA:4m50s
batch 649/814 (32450/40670) | decode:0.90s embed:1.63s db:0.03s total:1.66s | CPU:76% RAM:89% GPU:N/A | ETA:4m45s
batch 650/814 (32500/40670) | decode:0.84s embed:1.67s db:0.03s total:1.71s | CPU:78% RAM:89% GPU:N/A | ETA:4m43s
batch 651/814 (32550/40670) | decode:0.77s embed:1.63s db:0.04s total:1.67s | CPU:73% RAM:88% GPU:N/A | ETA:4m39s
batch 652/814 (32600/40670) | decode:0.91s embed:1.66s db:0.04s total:1.70s | CPU:83% RAM:89% GPU:N/A | ETA:4m37s
batch 653/814 (32650/40670) | decode:0.67s embed:1.66s db:0.04s total:1.70s | CPU:81% RAM:89% GPU:N/A | ETA:4m35s
batch 654/814 (32700/40670) | decode:0.69s embed:1.78s db:0.04s total:1.83s | CPU:80% RAM:89% GPU:N/A | ETA:4m37s
batch 655/814 (32750/40670) | decode:0.65s embed:1.62s db:0.06s total:1.68s | CPU:79% RAM:89% GPU:N/A | ETA:4m33s
batch 656/814 (32800/40670) | decode:0.70s embed:1.67s db:0.06s total:1.73s | CPU:76% RAM:88% GPU:N/A | ETA:4m32s
batch 657/814 (32850/40670) | decode:0.76s embed:1.72s db:0.05s total:1.77s | CPU:77% RAM:88% GPU:N/A | ETA:4m32s
batch 658/814 (32900/40670) | decode:0.82s embed:1.76s db:0.06s total:1.83s | CPU:82% RAM:89% GPU:N/A | ETA:4m33s
batch 659/814 (32950/40670) | decode:0.66s embed:1.65s db:0.08s total:1.73s | CPU:77% RAM:88% GPU:N/A | ETA:4m30s
batch 660/814 (33000/40670) | decode:0.76s embed:1.67s db:0.18s total:1.84s | CPU:75% RAM:89% GPU:N/A | ETA:4m31s
batch 661/814 (33050/40670) | decode:0.75s embed:1.64s db:0.05s total:1.70s | CPU:80% RAM:89% GPU:N/A | ETA:4m28s
batch 662/814 (33100/40670) | decode:0.74s embed:1.60s db:0.05s total:1.64s | CPU:75% RAM:89% GPU:N/A | ETA:4m23s
batch 663/814 (33150/40670) | decode:0.76s embed:1.60s db:0.03s total:1.64s | CPU:78% RAM:89% GPU:N/A | ETA:4m18s
batch 664/814 (33200/40670) | decode:0.72s embed:1.68s db:0.05s total:1.74s | CPU:79% RAM:89% GPU:N/A | ETA:4m17s
batch 665/814 (33250/40670) | decode:0.77s embed:1.76s db:0.04s total:1.81s | CPU:80% RAM:89% GPU:N/A | ETA:4m18s
batch 666/814 (33300/40670) | decode:0.64s embed:2.14s db:0.05s total:2.19s | CPU:75% RAM:89% GPU:N/A | ETA:4m30s
batch 667/814 (33350/40670) | decode:0.70s embed:2.52s db:0.05s total:2.57s | CPU:84% RAM:90% GPU:N/A | ETA:4m50s
batch 668/814 (33400/40670) | decode:0.73s embed:2.35s db:0.04s total:2.40s | CPU:78% RAM:91% GPU:N/A | ETA:5m0s
batch 669/814 (33450/40670) | decode:0.85s embed:2.36s db:0.05s total:2.41s | CPU:76% RAM:92% GPU:N/A | ETA:5m9s
batch 670/814 (33500/40670) | decode:1.22s embed:2.36s db:0.05s total:2.41s | CPU:78% RAM:92% GPU:N/A | ETA:5m14s
batch 671/814 (33550/40670) | decode:1.53s embed:2.10s db:0.05s total:2.15s | CPU:75% RAM:92% GPU:N/A | ETA:5m11s
batch 672/814 (33600/40670) | decode:1.24s embed:1.90s db:0.04s total:1.95s | CPU:79% RAM:93% GPU:N/A | ETA:5m2s
batch 673/814 (33650/40670) | decode:1.52s embed:1.83s db:0.05s total:1.88s | CPU:74% RAM:92% GPU:N/A | ETA:4m53s
batch 674/814 (33700/40670) | decode:1.41s embed:2.37s db:0.05s total:2.43s | CPU:81% RAM:92% GPU:N/A | ETA:5m1s
batch 675/814 (33750/40670) | decode:1.20s embed:2.17s db:0.05s total:2.22s | CPU:91% RAM:91% GPU:N/A | ETA:5m1s
batch 676/814 (33800/40670) | decode:1.34s embed:2.07s db:0.05s total:2.13s | CPU:79% RAM:90% GPU:N/A | ETA:4m57s
batch 677/814 (33850/40670) | decode:1.08s embed:2.03s db:0.05s total:2.08s | CPU:78% RAM:91% GPU:N/A | ETA:4m53s
batch 678/814 (33900/40670) | decode:2.02s embed:1.97s db:0.06s total:2.03s | CPU:78% RAM:90% GPU:N/A | ETA:4m48s
batch 679/814 (33950/40670) | decode:1.55s embed:2.19s db:0.34s total:2.53s | CPU:74% RAM:90% GPU:N/A | ETA:4m57s
batch 680/814 (34000/40670) | decode:1.52s embed:1.96s db:0.30s total:2.26s | CPU:72% RAM:91% GPU:N/A | ETA:4m56s
batch 681/814 (34050/40670) | decode:1.61s embed:1.97s db:0.04s total:2.00s | CPU:78% RAM:91% GPU:N/A | ETA:4m48s
batch 682/814 (34100/40670) | decode:1.42s embed:1.95s db:0.04s total:1.98s | CPU:77% RAM:91% GPU:N/A | ETA:4m41s
batch 683/814 (34150/40670) | decode:1.64s embed:2.40s db:0.04s total:2.44s | CPU:77% RAM:91% GPU:N/A | ETA:4m47s
batch 684/814 (34200/40670) | decode:1.28s embed:1.77s db:0.04s total:1.81s | CPU:79% RAM:90% GPU:N/A | ETA:4m35s
batch 685/814 (34250/40670) | decode:1.40s embed:1.76s db:0.03s total:1.79s | CPU:69% RAM:90% GPU:N/A | ETA:4m24s
batch 686/814 (34300/40670) | decode:1.64s embed:1.74s db:0.04s total:1.78s | CPU:70% RAM:90% GPU:N/A | ETA:4m15s
batch 687/814 (34350/40670) | decode:1.22s embed:1.73s db:0.07s total:1.80s | CPU:69% RAM:90% GPU:N/A | ETA:4m8s
batch 688/814 (34400/40670) | decode:0.81s embed:2.01s db:0.06s total:2.06s | CPU:75% RAM:88% GPU:N/A | ETA:4m9s
batch 689/814 (34450/40670) | decode:0.89s embed:1.76s db:0.05s total:1.81s | CPU:76% RAM:87% GPU:N/A | ETA:4m3s
batch 690/814 (34500/40670) | decode:0.87s embed:1.73s db:0.04s total:1.77s | CPU:88% RAM:86% GPU:N/A | ETA:3m57s
batch 691/814 (34550/40670) | decode:0.84s embed:1.85s db:0.05s total:1.91s | CPU:89% RAM:85% GPU:N/A | ETA:3m55s
batch 692/814 (34600/40670) | decode:1.17s embed:1.73s db:0.04s total:1.77s | CPU:71% RAM:85% GPU:N/A | ETA:3m49s
batch 693/814 (34650/40670) | decode:0.97s embed:1.76s db:0.04s total:1.80s | CPU:67% RAM:85% GPU:N/A | ETA:3m45s
batch 694/814 (34700/40670) | decode:0.88s embed:1.76s db:0.04s total:1.80s | CPU:72% RAM:85% GPU:N/A | ETA:3m42s
batch 695/814 (34750/40670) | decode:1.08s embed:1.94s db:0.04s total:1.98s | CPU:72% RAM:85% GPU:N/A | ETA:3m43s
batch 696/814 (34800/40670) | decode:0.89s embed:1.95s db:0.03s total:1.98s | CPU:82% RAM:86% GPU:N/A | ETA:3m44s
batch 697/814 (34850/40670) | decode:0.95s embed:1.68s db:0.04s total:1.72s | CPU:79% RAM:85% GPU:N/A | ETA:3m38s
batch 698/814 (34900/40670) | decode:0.96s embed:1.63s db:0.03s total:1.65s | CPU:74% RAM:85% GPU:N/A | ETA:3m31s
batch 699/814 (34950/40670) | decode:0.98s embed:1.86s db:0.05s total:1.92s | CPU:76% RAM:85% GPU:N/A | ETA:3m31s
batch 700/814 (35000/40670) | decode:1.04s embed:1.71s db:0.19s total:1.90s | CPU:75% RAM:86% GPU:N/A | ETA:3m31s
batch 701/814 (35050/40670) | decode:0.70s embed:1.67s db:0.05s total:1.72s | CPU:75% RAM:86% GPU:N/A | ETA:3m26s
batch 702/814 (35100/40670) | decode:0.85s embed:1.71s db:0.03s total:1.74s | CPU:76% RAM:86% GPU:N/A | ETA:3m22s
batch 703/814 (35150/40670) | decode:1.25s embed:1.68s db:0.04s total:1.72s | CPU:76% RAM:86% GPU:N/A | ETA:3m18s
batch 704/814 (35200/40670) | decode:0.71s embed:1.68s db:0.03s total:1.71s | CPU:76% RAM:86% GPU:N/A | ETA:3m15s
batch 705/814 (35250/40670) | decode:0.62s embed:1.78s db:0.04s total:1.82s | CPU:83% RAM:86% GPU:N/A | ETA:3m14s
batch 706/814 (35300/40670) | decode:0.70s embed:2.09s db:0.04s total:2.13s | CPU:76% RAM:86% GPU:N/A | ETA:3m20s
batch 707/814 (35350/40670) | decode:0.70s embed:1.97s db:0.04s total:2.01s | CPU:86% RAM:86% GPU:N/A | ETA:3m21s
batch 708/814 (35400/40670) | decode:0.72s embed:1.71s db:0.04s total:1.76s | CPU:80% RAM:87% GPU:N/A | ETA:3m17s
batch 709/814 (35450/40670) | decode:0.72s embed:1.87s db:0.04s total:1.91s | CPU:79% RAM:86% GPU:N/A | ETA:3m16s
batch 710/814 (35500/40670) | decode:0.81s embed:1.81s db:0.03s total:1.84s | CPU:84% RAM:87% GPU:N/A | ETA:3m13s
batch 711/814 (35550/40670) | decode:1.18s embed:1.84s db:0.04s total:1.88s | CPU:86% RAM:87% GPU:N/A | ETA:3m12s
batch 712/814 (35600/40670) | decode:1.01s embed:1.92s db:0.05s total:1.97s | CPU:74% RAM:87% GPU:N/A | ETA:3m12s
batch 713/814 (35650/40670) | decode:0.90s embed:2.07s db:0.05s total:2.13s | CPU:76% RAM:87% GPU:N/A | ETA:3m15s
batch 714/814 (35700/40670) | decode:0.85s embed:1.92s db:0.05s total:1.97s | CPU:70% RAM:87% GPU:N/A | ETA:3m14s
batch 715/814 (35750/40670) | decode:0.82s embed:1.85s db:0.03s total:1.89s | CPU:72% RAM:87% GPU:N/A | ETA:3m11s
batch 716/814 (35800/40670) | decode:0.84s embed:1.71s db:0.04s total:1.75s | CPU:78% RAM:87% GPU:N/A | ETA:3m5s
batch 717/814 (35850/40670) | decode:1.24s embed:1.71s db:0.07s total:1.78s | CPU:73% RAM:87% GPU:N/A | ETA:3m1s
batch 718/814 (35900/40670) | decode:0.96s embed:1.63s db:0.06s total:1.69s | CPU:76% RAM:87% GPU:N/A | ETA:2m56s
batch 719/814 (35950/40670) | decode:1.13s embed:1.71s db:0.04s total:1.75s | CPU:79% RAM:87% GPU:N/A | ETA:2m52s
batch 720/814 (36000/40670) | decode:0.71s embed:1.70s db:0.17s total:1.87s | CPU:73% RAM:87% GPU:N/A | ETA:2m51s
batch 721/814 (36050/40670) | decode:0.89s embed:1.64s db:0.03s total:1.67s | CPU:78% RAM:87% GPU:N/A | ETA:2m47s
batch 722/814 (36100/40670) | decode:0.66s embed:1.64s db:0.03s total:1.67s | CPU:78% RAM:87% GPU:N/A | ETA:2m43s
batch 723/814 (36150/40670) | decode:0.73s embed:1.69s db:0.04s total:1.73s | CPU:82% RAM:87% GPU:N/A | ETA:2m40s
batch 724/814 (36200/40670) | decode:0.72s embed:1.67s db:0.05s total:1.72s | CPU:80% RAM:87% GPU:N/A | ETA:2m38s
batch 725/814 (36250/40670) | decode:0.73s embed:1.69s db:0.04s total:1.73s | CPU:82% RAM:87% GPU:N/A | ETA:2m35s
batch 726/814 (36300/40670) | decode:0.70s embed:1.72s db:0.06s total:1.78s | CPU:76% RAM:87% GPU:N/A | ETA:2m34s
batch 727/814 (36350/40670) | decode:0.81s embed:1.70s db:0.04s total:1.74s | CPU:82% RAM:87% GPU:N/A | ETA:2m32s
batch 728/814 (36400/40670) | decode:0.75s embed:1.71s db:0.04s total:1.75s | CPU:82% RAM:87% GPU:N/A | ETA:2m30s
batch 729/814 (36450/40670) | decode:0.83s embed:1.67s db:0.05s total:1.72s | CPU:82% RAM:87% GPU:N/A | ETA:2m28s
batch 730/814 (36500/40670) | decode:0.73s embed:1.70s db:0.04s total:1.74s | CPU:73% RAM:87% GPU:N/A | ETA:2m26s
batch 731/814 (36550/40670) | decode:0.73s embed:1.69s db:0.04s total:1.73s | CPU:78% RAM:87% GPU:N/A | ETA:2m24s
batch 732/814 (36600/40670) | decode:0.77s embed:1.64s db:0.05s total:1.70s | CPU:77% RAM:87% GPU:N/A | ETA:2m22s
batch 733/814 (36650/40670) | decode:0.68s embed:1.61s db:0.04s total:1.66s | CPU:78% RAM:87% GPU:N/A | ETA:2m19s
batch 734/814 (36700/40670) | decode:0.83s embed:1.68s db:0.04s total:1.73s | CPU:78% RAM:87% GPU:N/A | ETA:2m17s
batch 735/814 (36750/40670) | decode:0.74s embed:1.68s db:0.03s total:1.72s | CPU:78% RAM:87% GPU:N/A | ETA:2m15s
batch 736/814 (36800/40670) | decode:0.71s embed:1.78s db:0.04s total:1.82s | CPU:86% RAM:88% GPU:N/A | ETA:2m15s
batch 737/814 (36850/40670) | decode:0.62s embed:1.64s db:0.05s total:1.70s | CPU:80% RAM:88% GPU:N/A | ETA:2m13s
batch 738/814 (36900/40670) | decode:0.72s embed:1.87s db:0.05s total:1.93s | CPU:79% RAM:88% GPU:N/A | ETA:2m14s
batch 739/814 (36950/40670) | decode:0.69s embed:1.67s db:0.06s total:1.73s | CPU:77% RAM:88% GPU:N/A | ETA:2m12s
batch 740/814 (37000/40670) | decode:1.06s embed:1.61s db:0.17s total:1.79s | CPU:70% RAM:88% GPU:N/A | ETA:2m10s
batch 741/814 (37050/40670) | decode:0.69s embed:1.59s db:0.04s total:1.62s | CPU:79% RAM:87% GPU:N/A | ETA:2m6s
batch 742/814 (37100/40670) | decode:1.07s embed:1.62s db:0.03s total:1.66s | CPU:78% RAM:88% GPU:N/A | ETA:2m3s
batch 743/814 (37150/40670) | decode:0.78s embed:1.65s db:0.04s total:1.70s | CPU:78% RAM:88% GPU:N/A | ETA:2m1s
batch 744/814 (37200/40670) | decode:0.63s embed:1.67s db:0.04s total:1.71s | CPU:78% RAM:88% GPU:N/A | ETA:2m0s
batch 745/814 (37250/40670) | decode:0.69s embed:1.79s db:0.03s total:1.82s | CPU:78% RAM:88% GPU:N/A | ETA:1m59s
batch 746/814 (37300/40670) | decode:0.66s embed:1.74s db:0.04s total:1.78s | CPU:79% RAM:88% GPU:N/A | ETA:1m58s
batch 747/814 (37350/40670) | decode:0.72s embed:1.74s db:0.05s total:1.79s | CPU:69% RAM:88% GPU:N/A | ETA:1m57s
batch 748/814 (37400/40670) | decode:0.65s embed:1.73s db:0.04s total:1.76s | CPU:73% RAM:87% GPU:N/A | ETA:1m55s
batch 749/814 (37450/40670) | decode:0.79s embed:1.82s db:0.04s total:1.86s | CPU:72% RAM:88% GPU:N/A | ETA:1m55s
batch 750/814 (37500/40670) | decode:0.74s embed:1.81s db:0.04s total:1.85s | CPU:75% RAM:88% GPU:N/A | ETA:1m54s
batch 751/814 (37550/40670) | decode:0.89s embed:1.96s db:0.04s total:2.01s | CPU:84% RAM:88% GPU:N/A | ETA:1m55s
batch 752/814 (37600/40670) | decode:0.96s embed:2.17s db:0.04s total:2.21s | CPU:81% RAM:89% GPU:N/A | ETA:1m58s
batch 753/814 (37650/40670) | decode:0.92s embed:1.88s db:0.07s total:1.95s | CPU:80% RAM:87% GPU:N/A | ETA:1m56s
batch 754/814 (37700/40670) | decode:0.72s embed:1.91s db:0.05s total:1.97s | CPU:81% RAM:87% GPU:N/A | ETA:1m55s
batch 755/814 (37750/40670) | decode:0.79s embed:2.04s db:0.05s total:2.09s | CPU:78% RAM:87% GPU:N/A | ETA:1m55s
batch 756/814 (37800/40670) | decode:1.20s embed:2.05s db:0.05s total:2.11s | CPU:80% RAM:86% GPU:N/A | ETA:1m55s
batch 757/814 (37850/40670) | decode:1.03s embed:1.79s db:0.05s total:1.84s | CPU:72% RAM:86% GPU:N/A | ETA:1m51s
batch 758/814 (37900/40670) | decode:1.12s embed:1.72s db:0.04s total:1.76s | CPU:76% RAM:86% GPU:N/A | ETA:1m47s
batch 759/814 (37950/40670) | decode:1.36s embed:1.88s db:0.07s total:1.95s | CPU:71% RAM:85% GPU:N/A | ETA:1m45s
batch 760/814 (38000/40670) | decode:1.71s embed:1.69s db:0.17s total:1.85s | CPU:71% RAM:86% GPU:N/A | ETA:1m43s
batch 761/814 (38050/40670) | decode:1.04s embed:1.65s db:0.04s total:1.68s | CPU:74% RAM:86% GPU:N/A | ETA:1m38s
batch 762/814 (38100/40670) | decode:0.83s embed:1.64s db:0.03s total:1.67s | CPU:80% RAM:86% GPU:N/A | ETA:1m34s
batch 763/814 (38150/40670) | decode:1.03s embed:1.71s db:0.03s total:1.74s | CPU:80% RAM:86% GPU:N/A | ETA:1m32s
batch 764/814 (38200/40670) | decode:0.79s embed:1.81s db:0.03s total:1.85s | CPU:80% RAM:86% GPU:N/A | ETA:1m30s
batch 765/814 (38250/40670) | decode:0.80s embed:1.78s db:0.05s total:1.82s | CPU:67% RAM:86% GPU:N/A | ETA:1m29s
batch 766/814 (38300/40670) | decode:0.67s embed:1.79s db:0.05s total:1.84s | CPU:70% RAM:86% GPU:N/A | ETA:1m27s
batch 767/814 (38350/40670) | decode:0.70s embed:1.74s db:0.04s total:1.78s | CPU:70% RAM:85% GPU:N/A | ETA:1m25s
batch 768/814 (38400/40670) | decode:0.97s embed:1.62s db:0.04s total:1.66s | CPU:75% RAM:86% GPU:N/A | ETA:1m22s
batch 769/814 (38450/40670) | decode:0.90s embed:1.63s db:0.04s total:1.67s | CPU:78% RAM:86% GPU:N/A | ETA:1m19s
batch 770/814 (38500/40670) | decode:0.92s embed:1.63s db:0.04s total:1.67s | CPU:81% RAM:86% GPU:N/A | ETA:1m16s
batch 771/814 (38550/40670) | decode:0.87s embed:1.65s db:0.05s total:1.70s | CPU:76% RAM:85% GPU:N/A | ETA:1m14s
batch 772/814 (38600/40670) | decode:0.71s embed:1.74s db:0.05s total:1.79s | CPU:81% RAM:85% GPU:N/A | ETA:1m13s
batch 773/814 (38650/40670) | decode:0.68s embed:1.74s db:0.04s total:1.79s | CPU:69% RAM:85% GPU:N/A | ETA:1m11s
batch 774/814 (38700/40670) | decode:0.70s embed:1.70s db:0.04s total:1.75s | CPU:70% RAM:86% GPU:N/A | ETA:1m10s
